Formatted address,Latitude,Longitude
"10 Saddletree Ln, Harrison, NY 10528, USA",40.9677859,-73.727879
"12 Saddletree Ln, Harrison, NY 10528, USA",40.9680958,-73.7279933
"133 Maple Ave, Smithtown, NY 11787, USA",40.8500947,-73.1971679
"1413 Arlington St, Mamaroneck, NY 10543, USA",40.9665273,-73.7325892
"1421 N James St, Mamaroneck, NY 10543, USA",40.9665017,-73.7336796
"15 Cornell Ave, Smithtown, NY 11787, USA",40.849456,-73.198207
"1515 Urban St, Mamaroneck, NY 10543, USA",40.9671277,-73.7351089
"1520 Urban St, Mamaroneck, NY 10543, USA",40.9672437,-73.7356187
"16 Cornell Ave, Smithtown, NY 11787, USA",40.8491195,-73.19875
"16 Westwood Dr, Harrison, NY 10528, USA",40.9695073,-73.7272615
"1605 N James St, Mamaroneck, NY 10543, USA",40.9680727,-73.7345341
"163 Landing Ave, Smithtown, NY 11787, USA",40.8606205,-73.1956848
"212 Warren Ave, Mamaroneck, NY 10543, USA",40.966977,-73.734502
"216 Travers Ave, Mamaroneck, NY 10543, USA",40.9658897,-73.7339968
"217 Soundview Ave, Mamaroneck, NY 10543, USA",40.964851,-73.733752
"220 Soundview Ave, Mamaroneck, NY 10543, USA",40.9652103,-73.7337815
"24 Cornell Ave, Smithtown, NY 11787, USA",40.8486068,-73.1988
"316 Chestnut Ave, Mamaroneck, NY 10543, USA",40.9678288,-73.7339489
"32 Birchbrook Dr, Smithtown, NY 11787, USA",40.8532488,-73.1910606
"35 Birchbrook Dr, Smithtown, NY 11787, USA",40.8538178,-73.1911953
"39 Oak Ave, Smithtown, NY 11787, USA",40.8489408,-73.1946416
"400 Warren Ave, Mamaroneck, NY 10543, USA",40.9672827,-73.7331405
"407 Soundview Ave, Mamaroneck, NY 10543, USA",40.9652423,-73.7320111
"41 Birchbrook Dr, Smithtown, NY 11787, USA",40.8538361,-73.1904372
"412 Chestnut Ave, Mamaroneck, NY 10543, USA",40.968089,-73.733209
"416 Chestnut Ave, Mamaroneck, NY 10543, USA",40.9680113,-73.7330634
"43 Oak Ave, Smithtown, NY 11787, USA",40.8495431,-73.1946202
"45 Birchbrook Dr, Smithtown, NY 11787, USA",40.8535164,-73.1901619
"47 Birchbrook Dr, Smithtown, NY 11787, USA",40.8533133,-73.1901538
"507 Chestnut Ave, Mamaroneck, NY 10543, USA",40.9677448,-73.7320035
"514 Warren Ave, Mamaroneck, NY 10543, USA",40.9674727,-73.7318904
"52 Birchbrook Dr, Smithtown, NY 11787, USA",40.8517577,-73.1907013
"52 Oak Ave, Smithtown, NY 11787, USA",40.8497494,-73.1950764
"54 Oak Ave, Smithtown, NY 11787, USA",40.8499666,-73.1950784
"55 Birchbrook Dr, Smithtown, NY 11787, USA",40.8524956,-73.1901905
"60 Cornell Ave, Smithtown, NY 11787, USA",40.8481501,-73.1987976
"61 Birchbrook Dr, Smithtown, NY 11787, USA",40.8518827,-73.190215
"62 Birchbrook Dr, Smithtown, NY 11787, USA",40.8510678,-73.1915146
"64 Cornell Ave, Smithtown, NY 11787, USA",40.8478485,-73.198778
"67 Birchbrook Dr, Smithtown, NY 11787, USA",40.8512709,-73.1902099
"71 Birchbrook Dr, Smithtown, NY 11787, USA",40.8508762,-73.1904144
"71 Cornell Ave, Smithtown, NY 11787, USA",40.8475241,-73.198265
"72 Birchbrook Dr, Smithtown, NY 11787, USA",40.851132,-73.1929428
"73 Atterbury Dr, Smithtown, NY 11787, USA",40.8589004,-73.1981931
"8 Saddletree Ln, Harrison, NY 10528, USA",40.9675479,-73.7283563
"83 Birchbrook Dr, Smithtown, NY 11787, USA",40.8507697,-73.1929896
"83 Birchbrook Dr, Smithtown, NY 11787, USA",40.8507697,-73.1929896
"97 Elm Ave, Smithtown, NY 11787, USA",40.8521796,-73.1952854
