photos,index,class instances,xmid,ymid,xmin,ymin,xmax,ymax,iwidth,iheight,class,valid,train,test
G0024066_1,0,1,249.0,441.5,183.0,408.0,315.0,475.0,512.0,512.0,trash,True,False,False
DJI_0034_2,1,1,244.0,427.0,172.0,342.0,316.0,512.0,512.0,512.0,tarp,False,True,False
G0036554_10,2,1,320.5,244.5,299.0,223.0,342.0,266.0,512.0,512.0,container,False,True,False
G0036554_10,3,2,333.0,222.0,319.0,208.0,347.0,236.0,512.0,512.0,container,False,True,False
G0036554_10,4,3,457.5,261.5,421.0,228.0,494.0,295.0,512.0,512.0,air conditioner,False,True,False
G0036452_15,5,1,283.5,23.0,266.0,10.0,301.0,36.0,512.0,512.0,container,False,True,False
G0036452_15,6,2,390.5,193.0,269.0,129.0,512.0,257.0,512.0,512.0,ladder,False,True,False
DJI_0302_13,7,1,273.5,307.5,231.0,258.0,316.0,357.0,512.0,512.0,trash bin,False,False,True
DJI_0136_41,8,1,18.0,373.5,1.0,354.0,35.0,393.0,500.0,500.0,flower pot,False,True,False
DJI_0079_13,9,1,164.5,334.0,156.0,326.0,173.0,342.0,500.0,500.0,container,False,True,False
DJI_0079_13,10,2,166.5,334.0,158.0,327.0,175.0,341.0,500.0,500.0,no larvae,False,True,False
DJI_0107_22,11,1,154.0,449.5,113.0,412.0,195.0,487.0,500.0,500.0,air conditioner,True,False,False
G0024075_2,12,1,439.5,156.0,378.0,97.0,501.0,215.0,512.0,512.0,table,False,True,False
DJI_0248_6,13,1,435.0,138.5,388.0,1.0,482.0,276.0,500.0,500.0,ladder,False,True,False
DJI_0230_25,14,1,133.5,334.5,120.0,321.0,147.0,348.0,500.0,500.0,flower pot,False,False,True
DJI_0230_25,15,2,231.5,338.0,219.0,327.0,244.0,349.0,500.0,500.0,flower pot,False,False,True
DJI_0230_25,16,3,229.5,442.5,113.0,385.0,346.0,500.0,500.0,500.0,porch,False,False,True
G0036540_12,17,1,74.5,81.5,57.0,68.0,92.0,95.0,512.0,512.0,container,False,False,True
G0036429_1,18,1,341.0,217.5,329.0,208.0,353.0,227.0,512.0,512.0,container,False,True,False
G0013864_8,19,1,221.0,347.5,31.0,183.0,411.0,512.0,512.0,512.0,porch,False,True,False
G0013864_8,20,2,76.5,481.0,36.0,450.0,117.0,512.0,512.0,512.0,air conditioner,False,True,False
