photos,class,class instances,xmid,ymid,xmin,ymin,xmax,ymax,iwidth,iheight,valid
G0024066_1,trash,1,249.0,441.5,183.0,408.0,315.0,475.0,512.0,512.0,True
DJI_0034_2,tarp,1,244.0,427.0,172.0,342.0,316.0,512.0,512.0,512.0,False
G0036554_10,container,1,320.5,244.5,299.0,223.0,342.0,266.0,512.0,512.0,False
G0036554_10,container,2,333.0,222.0,319.0,208.0,347.0,236.0,512.0,512.0,False
G0036554_10,air conditioner,3,457.5,261.5,421.0,228.0,494.0,295.0,512.0,512.0,False
G0036452_15,container,1,283.5,23.0,266.0,10.0,301.0,36.0,512.0,512.0,False
G0036452_15,ladder,2,390.5,193.0,269.0,129.0,512.0,257.0,512.0,512.0,False
DJI_0302_13,trash bin,1,273.5,307.5,231.0,258.0,316.0,357.0,512.0,512.0,False
G0024017_5,pool,1,221.0,287.5,79.0,63.0,363.0,512.0,440.0,512.0,False
G0024075_2,table,1,439.5,156.0,378.0,97.0,501.0,215.0,512.0,512.0,False
G0036540_12,container,1,74.5,81.5,57.0,68.0,92.0,95.0,512.0,512.0,False
G0036429_1,container,1,341.0,217.5,329.0,208.0,353.0,227.0,512.0,512.0,False
G0013864_8,porch,1,221.0,347.5,31.0,183.0,411.0,512.0,512.0,512.0,True
G0013864_8,air conditioner,2,76.5,481.0,36.0,450.0,117.0,512.0,512.0,512.0,True
G0013864_8,tent,3,271.5,88.0,138.0,1.0,405.0,175.0,512.0,512.0,True
DJI_0321_10,container,1,328.0,249.5,305.0,228.0,351.0,271.0,512.0,512.0,False
G0013884_1,car,1,221.0,341.5,58.0,210.0,384.0,473.0,512.0,512.0,False
G0036435_11,flower pot,1,296.5,104.0,268.0,91.0,325.0,117.0,440.0,512.0,False
G0024037_14,container,1,129.0,250.5,116.0,239.0,142.0,262.0,512.0,512.0,False
G0024037_14,container,2,136.5,399.5,121.0,384.0,152.0,415.0,512.0,512.0,False
G0024051_10,chair,1,169.5,159.0,121.0,95.0,218.0,223.0,512.0,512.0,True
G0024051_10,chair,2,69.5,106.0,36.0,86.0,103.0,126.0,512.0,512.0,True
G0024051_10,chair,3,111.5,46.5,90.0,23.0,133.0,70.0,512.0,512.0,True
G0024051_10,chair,4,22.0,46.5,3.0,21.0,41.0,72.0,512.0,512.0,True
G0024051_10,table,5,67.0,52.5,15.0,1.0,119.0,104.0,512.0,512.0,True
G0024039_11,car,1,116.0,79.5,7.0,32.0,225.0,127.0,440.0,512.0,True
DJI_0031_4,basketball,1,239.0,87.0,123.0,1.0,355.0,173.0,512.0,512.0,False
G0024049_3,chair,1,304.5,344.0,281.0,317.0,328.0,371.0,512.0,512.0,True
G0024049_3,toy,2,311.0,376.0,301.0,366.0,321.0,386.0,512.0,512.0,True
G0024049_3,table,3,469.0,272.0,426.0,230.0,512.0,314.0,512.0,512.0,True
G0024059_11,trash bin,1,113.0,294.5,93.0,263.0,133.0,326.0,440.0,512.0,False
G0024059_11,trash bin,2,110.5,361.0,92.0,339.0,129.0,383.0,440.0,512.0,False
G0024059_11,trash bin,3,87.5,411.5,58.0,384.0,117.0,439.0,440.0,512.0,False
G0024059_11,trash bin,4,279.5,411.5,252.0,389.0,307.0,434.0,440.0,512.0,False
DJI_0318_9,container,3,205.0,426.5,185.0,409.0,225.0,444.0,512.0,512.0,True
G0013844_19,ladder,1,235.5,82.5,99.0,54.0,372.0,111.0,512.0,464.0,True
DJI_0016_6,trash bin,1,263.5,386.5,225.0,346.0,302.0,427.0,512.0,512.0,False
G0036432_10,flower pot,1,185.0,238.0,176.0,228.0,194.0,248.0,512.0,512.0,False
G0036432_10,flower pot,2,226.5,227.0,208.0,210.0,245.0,244.0,512.0,512.0,False
G0036432_10,flower pot,3,200.0,244.5,188.0,234.0,212.0,255.0,512.0,512.0,False
G0036432_10,container,4,321.0,319.0,312.0,310.0,330.0,328.0,512.0,512.0,False
G0024039_22,umbrella,1,122.5,328.0,37.0,239.0,208.0,417.0,512.0,464.0,False
G0013834_1,chair,1,416.5,361.5,390.0,335.0,443.0,388.0,512.0,512.0,False
DJI_0324_16,umbrella,1,132.5,247.5,1.0,98.0,264.0,397.0,512.0,512.0,True
G0013833_2,tarp,1,84.5,381.0,50.0,344.0,119.0,418.0,512.0,512.0,False
G0013833_2,tarp,2,31.0,447.0,1.0,395.0,61.0,499.0,512.0,512.0,False
G0013833_2,tarp,3,136.0,445.5,107.0,415.0,165.0,476.0,512.0,512.0,False
G0013833_2,tarp,4,93.0,484.5,61.0,457.0,125.0,512.0,512.0,512.0,False
G0013833_2,porch,5,157.0,349.0,1.0,186.0,313.0,512.0,512.0,512.0,False
DJI_0024_24,toy,1,62.5,378.0,1.0,247.0,124.0,509.0,512.0,512.0,False
DJI_0024_24,kayak,2,62.5,375.0,1.0,244.0,124.0,506.0,512.0,512.0,False
G0024051_11,container,1,177.5,179.0,157.0,159.0,198.0,199.0,440.0,512.0,False
G0024051_11,container,2,410.0,179.0,380.0,152.0,440.0,206.0,440.0,512.0,False
G0024058_6,car,1,66.0,268.0,1.0,143.0,131.0,393.0,512.0,512.0,False
DJI_0307_6,flower pot,1,487.0,162.0,469.0,143.0,505.0,181.0,512.0,512.0,False
DJI_0307_6,flower pot,2,129.5,266.0,102.0,239.0,157.0,293.0,512.0,512.0,False
DJI_0307_6,flower pot,3,124.5,455.5,107.0,435.0,142.0,476.0,512.0,512.0,False
DJI_0325_26,container,1,404.5,130.5,398.0,121.0,411.0,140.0,512.0,512.0,True
G0013873_0,pool,1,146.0,136.0,1.0,1.0,291.0,271.0,512.0,512.0,False
G0013873_0,toy,2,137.0,148.0,90.0,92.0,184.0,204.0,512.0,512.0,False
G0013873_0,toy,3,251.0,223.0,201.0,178.0,301.0,268.0,512.0,512.0,False
G0013877_23,clutter,1,207.5,418.0,147.0,372.0,268.0,464.0,440.0,464.0,False
DJI_0033_19,flower pot,1,490.5,381.5,469.0,360.0,512.0,403.0,512.0,512.0,False
DJI_0033_19,container,2,209.0,346.0,193.0,330.0,225.0,362.0,512.0,512.0,False
DJI_0033_19,container,3,182.5,351.5,167.0,338.0,198.0,365.0,512.0,512.0,False
DJI_0326_38,porch,1,212.5,269.0,1.0,88.0,424.0,450.0,512.0,512.0,False
G0013833_0,car,1,238.5,38.0,99.0,1.0,378.0,75.0,512.0,512.0,False
G0024060_13,car,1,319.5,443.5,218.0,384.0,421.0,503.0,512.0,512.0,False
G0024070_13,container,1,263.0,173.0,252.0,161.0,274.0,185.0,512.0,512.0,False
G0024070_13,container,2,438.0,148.0,428.0,139.0,448.0,157.0,512.0,512.0,False
G0024070_13,pool,3,154.5,50.0,1.0,1.0,308.0,99.0,512.0,512.0,False
G0024024_19,car,1,335.0,377.5,237.0,291.0,433.0,464.0,512.0,464.0,False
G0024033_4,container,1,146.5,173.5,132.0,155.0,161.0,192.0,512.0,512.0,True
G0024069_13,table,1,291.5,291.5,258.0,253.0,325.0,330.0,512.0,512.0,False
G0024069_13,chair,2,178.0,294.5,138.0,256.0,218.0,333.0,512.0,512.0,False
G0024069_13,chair,3,281.0,388.5,250.0,365.0,312.0,412.0,512.0,512.0,False
G0024069_13,container,4,269.0,394.5,258.0,386.0,280.0,403.0,512.0,512.0,False
G0024069_13,flower pot,5,170.0,373.5,133.0,346.0,207.0,401.0,512.0,512.0,False
G0024069_13,flower pot,6,269.0,393.0,259.0,385.0,279.0,401.0,512.0,512.0,False
G0024069_13,flower pot,7,391.5,402.0,368.0,382.0,415.0,422.0,512.0,512.0,False
G0024069_13,flower pot,8,404.5,350.5,387.0,322.0,422.0,379.0,512.0,512.0,False
G0024069_13,flower pot,9,372.5,178.0,348.0,159.0,397.0,197.0,512.0,512.0,False
G0024069_13,container,10,381.5,30.0,365.0,12.0,398.0,48.0,512.0,512.0,False
G0024069_13,porch,11,299.0,310.0,108.0,170.0,490.0,450.0,512.0,512.0,False
G0036445_8,pool,1,54.5,99.5,4.0,3.0,105.0,196.0,512.0,512.0,False
G0024072_13,trash bin,1,334.0,483.0,310.0,462.0,358.0,504.0,512.0,512.0,False
G0024072_13,trash bin,2,267.0,476.5,247.0,459.0,287.0,494.0,512.0,512.0,False
G0024072_13,trash bin,3,286.5,488.5,263.0,465.0,310.0,512.0,512.0,512.0,False
G0024089_12,hose,1,365.0,360.5,332.0,337.0,398.0,384.0,512.0,512.0,True
DJI_0300_10,container,1,429.5,363.5,412.0,348.0,447.0,379.0,512.0,512.0,False
G0024041_10,car,1,229.5,98.5,101.0,35.0,358.0,162.0,512.0,512.0,True
DJI_0035_10,toy,1,205.5,436.5,36.0,390.0,375.0,483.0,512.0,512.0,False
DJI_0035_10,kayak,2,194.5,433.5,34.0,393.0,355.0,474.0,512.0,512.0,False
DJI_0008_17,hose,1,349.0,92.5,311.0,59.0,387.0,126.0,512.0,512.0,False
G0024060_3,car,1,462.0,181.0,412.0,1.0,512.0,361.0,512.0,512.0,False
G0024060_3,car,2,479.0,439.0,447.0,366.0,511.0,512.0,512.0,512.0,False
DJI_0018_2,trash bin,1,183.0,253.5,144.0,208.0,222.0,299.0,512.0,512.0,True
DJI_0018_2,trash bin,2,199.0,338.5,148.0,292.0,250.0,385.0,512.0,512.0,True
DJI_0018_2,trash bin,3,333.0,410.0,284.0,361.0,382.0,459.0,512.0,512.0,True
G0024062_22,table,1,114.5,172.5,76.0,132.0,153.0,213.0,512.0,464.0,True
G0024062_22,table,2,270.0,423.5,238.0,392.0,302.0,455.0,512.0,464.0,True
G0024062_22,chair,3,282.5,208.0,247.0,170.0,318.0,246.0,512.0,464.0,True
G0024062_22,chair,4,49.5,177.5,17.0,141.0,82.0,214.0,512.0,464.0,True
G0013882_7,pot,1,31.5,83.0,6.0,61.0,57.0,105.0,512.0,512.0,False
G0024066_2,container,1,202.5,482.0,187.0,467.0,218.0,497.0,512.0,512.0,False
G0036435_3,container,1,43.0,492.5,24.0,473.0,62.0,512.0,512.0,512.0,False
G0036435_3,container,2,9.0,458.0,1.0,445.0,17.0,471.0,512.0,512.0,False
DJI_0024_3,gutter,1,29.5,408.0,10.0,374.0,49.0,442.0,512.0,512.0,False
DJI_0039_3,toy,1,78.0,91.5,3.0,1.0,153.0,182.0,512.0,512.0,True
G0024034_6,trash bin,1,315.0,379.0,281.0,356.0,349.0,402.0,512.0,512.0,False
G0024034_6,trash bin,2,322.0,343.0,284.0,319.0,360.0,367.0,512.0,512.0,False
G0024034_6,trash bin,3,326.0,307.5,287.0,283.0,365.0,332.0,512.0,512.0,False
G0036545_13,container,1,348.0,312.0,337.0,302.0,359.0,322.0,512.0,512.0,False
G0036545_13,flower pot,2,75.5,247.5,53.0,233.0,98.0,262.0,512.0,512.0,False
DJI_0028_39,toy,1,260.5,462.5,192.0,413.0,329.0,512.0,416.0,512.0,True
G0013879_9,container,1,382.5,337.0,362.0,317.0,403.0,357.0,512.0,512.0,False
G0013879_9,flower pot,2,361.5,415.5,338.0,392.0,385.0,439.0,512.0,512.0,False
G0013879_9,pot,3,387.5,337.5,372.0,321.0,403.0,354.0,512.0,512.0,False
G0013879_9,pot,4,369.5,419.5,346.0,395.0,393.0,444.0,512.0,512.0,False
G0013871_7,hose,1,281.5,294.5,243.0,259.0,320.0,330.0,512.0,512.0,True
G0024036_1,trash bin,1,229.0,169.0,197.0,129.0,261.0,209.0,512.0,512.0,False
G0024036_1,container,2,505.5,330.5,499.0,317.0,512.0,344.0,512.0,512.0,False
G0013866_1,table,1,348.5,478.0,331.0,459.0,366.0,497.0,512.0,512.0,True
G0013866_1,chair,2,359.0,453.0,330.0,428.0,388.0,478.0,512.0,512.0,True
G0013866_1,chair,3,331.0,491.0,305.0,470.0,357.0,512.0,512.0,512.0,True
G0013860_13,flower pot,1,456.5,399.5,441.0,379.0,472.0,420.0,512.0,512.0,False
G0013860_13,container,2,460.5,398.5,445.0,382.0,476.0,415.0,512.0,512.0,False
G0013860_13,container,3,259.5,325.0,238.0,303.0,281.0,347.0,512.0,512.0,False
