photos,classes,class instances,midx,midy,xmin,ymin,xmax,ymax,confidence
G0024062_4.JPG,flower pot,1,491.5,487.0,477.0,476.0,506.0,498.0,0.13774532079696655
G0024062_4.JPG,flower pot,2,439.0,386.5,426.0,372.0,452.0,401.0,0.09967630356550217
G0024062_4.JPG,flower pot,3,451.0,388.0,439.0,373.0,463.0,403.0,0.07763420045375824
G0024062_4.JPG,flower pot,4,490.5,358.5,473.0,340.0,508.0,377.0,0.07763314992189407
G0024062_4.JPG,flower pot,5,429.0,384.5,415.0,370.0,443.0,399.0,0.07601980865001678
G0024062_4.JPG,flower pot,6,463.5,449.5,445.0,429.0,482.0,470.0,0.0714210793375969
G0024062_4.JPG,flower pot,7,485.0,10.0,470.0,0.0,500.0,20.0,0.06885094940662384
G0024062_4.JPG,flower pot,8,465.0,395.5,448.0,379.0,482.0,412.0,0.06860773265361786
G0024062_4.JPG,flower pot,9,304.5,27.0,290.0,10.0,319.0,44.0,0.06775934249162674
G0024062_4.JPG,flower pot,10,474.0,13.0,454.0,1.0,494.0,25.0,0.06576737761497498
G0024062_4.JPG,flower pot,11,435.0,370.0,416.0,350.0,454.0,390.0,0.06436572968959808
G0024062_4.JPG,flower pot,12,433.5,436.5,421.0,424.0,446.0,449.0,0.06285325437784195
G0024062_4.JPG,flower pot,13,434.5,429.5,424.0,419.0,445.0,440.0,0.06256435066461563
G0024062_4.JPG,flower pot,14,440.0,300.0,424.0,283.0,456.0,317.0,0.06190450116991997
G0024062_4.JPG,flower pot,15,292.5,26.0,278.0,9.0,307.0,43.0,0.06069560721516609
G0024062_4.JPG,flower pot,16,314.5,225.5,300.0,214.0,329.0,237.0,0.05995476245880127
G0024062_4.JPG,flower pot,17,474.0,358.0,458.0,339.0,490.0,377.0,0.05554291233420372
G0024062_4.JPG,flower pot,18,499.0,491.5,488.0,477.0,510.0,506.0,0.05428353697061539
G0024062_4.JPG,flower pot,19,452.0,300.5,438.0,286.0,466.0,315.0,0.05388603359460831
G0024062_4.JPG,flower pot,20,495.0,398.5,478.0,385.0,512.0,412.0,0.05357424542307854
G0024062_4.JPG,flower pot,21,278.0,379.0,265.0,363.0,291.0,395.0,0.051918428391218185
G0024062_4.JPG,flower pot,22,464.5,370.0,450.0,348.0,479.0,392.0,0.051411423832178116
G0024062_4.JPG,umbrella,1,450.0,422.5,390.0,357.0,510.0,488.0,0.1450919657945633
G0024062_4.JPG,umbrella,2,470.0,460.0,428.0,411.0,512.0,509.0,0.055440522730350494
G0024062_4.JPG,umbrella,3,462.0,381.0,412.0,315.0,512.0,447.0,0.05393761396408081
