photos,classes,class instances,midx,midy,xmin,ymin,xmax,ymax,confidence
G0024071_22,pot,1,438.5,394,424,378,453,410,0.089923091
G0024071_22,pot,2,450.5,389,436,370,465,408,0.056821503
G0024071_22,flower pot,1,499.5,498,487,484,512,512,0.089264229
G0024071_22,flower pot,2,440,388,426,370,454,406,0.071040139
G0024071_22,tarp,1,456.5,435.5,405,364,508,507,0.094373479
G0024071_22,umbrella,1,449,413,388,341,510,485,0.108917341
G0024071_22,basketball,1,441.5,422,380,341,503,503,0.050028805
G0024071_22,porch,1,443,400,379,318,507,482,0.065538548
G0024071_22,container,1,153.5,16.5,139,5,168,28,0.063673697
G0024071_22,container,2,417.5,447,404,437,431,457,0.05894497
G0024071_22,gutter,1,251,308,173,288,329,328,0.053744532
G0024071_22,toy,1,442.5,413.5,374,335,511,492,0.190449864
G0024071_22,car,1,436,422,380,341,492,503,0.262650758
G0024071_22,car,2,459,382.5,407,291,511,474,0.060374882
G0024071_22,table,1,443.5,437,400,364,487,510,0.084334433
G0024071_22,table,2,466,424,422,394,510,454,0.066103429
G0024071_22,table,3,464.5,397,421,369,508,425,0.054667156
G0024071_22,table,4,448,398,388,322,508,474,0.053505853
DJI_0292_30,pot,1,138.5,248,123,230,154,266,0.055851027
DJI_0292_30,pot,2,208,290,188,265,228,315,0.053540677
DJI_0292_30,flower pot,1,151,477,129,452,173,502,0.40277499
DJI_0292_30,flower pot,2,207.5,297,188,274,227,320,0.292712182
DJI_0292_30,flower pot,3,124,408,105,390,143,426,0.131937772
DJI_0292_30,flower pot,4,141,493.5,126,480,156,507,0.098179959
DJI_0292_30,flower pot,5,256,37.5,227,3,285,72,0.072385877
DJI_0292_30,flower pot,6,137,486,116,464,158,508,0.063942477
DJI_0292_30,flower pot,7,206.5,279,187,254,226,304,0.056832276
DJI_0292_30,flower pot,8,215.5,126,191,106,240,146,0.055270039
DJI_0292_30,flower pot,9,162.5,487,141,466,184,508,0.053601604
DJI_0292_30,flower pot,10,228,35.5,198,2,258,69,0.053559545
DJI_0292_30,flower pot,11,103,482,67,454,139,510,0.053040225
DJI_0292_30,flower pot,12,440.5,26,405,2,476,50,0.052924018
DJI_0292_30,flower pot,13,122.5,469,93,435,152,503,0.052832276
DJI_0292_30,flower pot,14,71,411.5,37,365,105,458,0.052663993
DJI_0292_30,tarp,1,151,35,97,10,205,60,0.073594198
DJI_0292_30,tarp,2,170.5,53,115,16,226,90,0.063735165
DJI_0292_30,tarp,3,208.5,398,139,324,278,472,0.062006425
DJI_0292_30,umbrella,1,173,85.5,82,28,264,143,0.055537038
DJI_0292_30,umbrella,2,468,471,428,432,508,510,0.053774245
DJI_0292_30,umbrella,3,82,36,16,0,148,72,0.051966079
DJI_0292_30,umbrella,4,167,390.5,81,285,253,496,0.051241718
DJI_0292_30,umbrella,5,121,53.5,39,14,203,93,0.050036065
DJI_0292_30,basketball,1,154.5,388,61,301,248,475,0.103473701
DJI_0292_30,basketball,2,176,84.5,102,15,250,154,0.100366361
DJI_0292_30,basketball,3,125,96,26,0,224,192,0.08798375
DJI_0292_30,basketball,4,127,66,53,13,201,119,0.075683817
DJI_0292_30,basketball,5,185,430.5,114,356,256,505,0.074183717
DJI_0292_30,basketball,6,102.5,347.5,22,266,183,429,0.055983573
DJI_0292_30,basketball,7,82,36,16,0,148,72,0.055041816
DJI_0292_30,basketball,8,72.5,75,19,19,126,131,0.054294266
DJI_0292_30,trash bin,1,196,227.5,164,184,228,271,0.080429658
DJI_0292_30,trash bin,2,127,488.5,85,466,169,511,0.076396488
DJI_0292_30,trash bin,3,177.5,249,141,207,214,291,0.064231701
DJI_0292_30,trash bin,4,108.5,470,69,437,148,503,0.055771481
DJI_0292_30,trash bin,5,144.5,476,113,446,176,506,0.054588895
DJI_0292_30,trash bin,6,177,208,142,168,212,248,0.051877301
DJI_0292_30,trash bin,7,198,182,161,145,235,219,0.051307645
DJI_0292_30,porch,1,248.5,265.5,29,78,468,453,0.130789176
DJI_0292_30,porch,2,136,386.5,21,268,251,505,0.122859605
DJI_0292_30,porch,3,169.5,258.5,76,71,263,446,0.096262448
DJI_0292_30,porch,4,247.5,378.5,104,253,391,504,0.078468539
