photo,lat,lon,date_taken,alt,heading,notes
G0013831_11.JPG,40.9677224,-73.7316247,2017:07:20,19.051,247,alt values for G00 are not accurate
G0013831_21.JPG,40.9677224,-73.7316247,2017:07:20,19.051,247,alt values for G00 are not accurate
G0013831_23.JPG,40.9677224,-73.7316247,2017:07:20,19.051,247,alt values for G00 are not accurate
G0013832_22.JPG,40.9676735,-73.7318126,2017:07:20,10.711,247,alt values for G00 are not accurate
G0013832_5.JPG,40.9676735,-73.7318126,2017:07:20,10.711,247,alt values for G00 are not accurate
G0013833_17.JPG,40.9675989,-73.7320191,2017:07:20,4.362,247,alt values for G00 are not accurate
G0013833_20.JPG,40.9675989,-73.7320191,2017:07:20,4.362,247,alt values for G00 are not accurate
G0013835_5.JPG,40.9674909,-73.7324157,2017:07:20,0.222,247,alt values for G00 are not accurate
G0013836_19.JPG,40.9674725,-73.7324404,2017:07:20,2.325,247,alt values for G00 are not accurate
G0013836_5.JPG,40.9674725,-73.7324404,2017:07:20,2.325,247,alt values for G00 are not accurate
G0013843_22.JPG,40.9672009,-73.7332801,2017:07:20,7.599,252,alt values for G00 are not accurate
G0013844_19.JPG,40.96714,-73.733493,2017:07:20,7.667,252,alt values for G00 are not accurate
G0013846_5.JPG,40.9670368,-73.7339625,2017:07:20,7.075,252,alt values for G00 are not accurate
G0013849_22.JPG,40.96688,-73.7345314,2017:07:20,2.879,NA,alt values for G00 are not accurate
G0013854_22.JPG,40.9672973,-73.7349754,2017:07:20,4.67,285,alt values for G00 are not accurate
G0013855_19.JPG,40.9673346,-73.7350354,2017:07:20,4.402,252,alt values for G00 are not accurate
G0013855_21.JPG,40.9673346,-73.7350354,2017:07:20,4.402,252,alt values for G00 are not accurate
G0013855_5.JPG,40.9673346,-73.7350354,2017:07:20,4.402,252,alt values for G00 are not accurate
G0013856_22.JPG,40.9672609,-73.7351485,2017:07:20,1.499,252,alt values for G00 are not accurate
G0013857_5.JPG,40.9671978,-73.7353486,2017:07:20,1.545,252,alt values for G00 are not accurate
G0013858_5.JPG,40.9671413,-73.7355481,2017:07:20,1.602,252,alt values for G00 are not accurate
G0013859_18.JPG,40.9671251,-73.7356523,2017:07:20,4.97,252,alt values for G00 are not accurate
G0013859_19.JPG,40.9671251,-73.7356523,2017:07:20,4.97,252,alt values for G00 are not accurate
G0013861_11.JPG,40.9671261,-73.73574,2017:07:20,24.331,252,alt values for G00 are not accurate
G0013863_20.JPG,40.9670948,-73.7357318,2017:07:20,15.233,NA,alt values for G00 are not accurate
G0013864_11.JPG,40.9669491,-73.7356599,2017:07:20,7.331,NA,alt values for G00 are not accurate
G0013865_17.JPG,40.9668027,-73.7355789,2017:07:20,0.976,NA,alt values for G00 are not accurate
G0013865_22.JPG,40.9668027,-73.7355789,2017:07:20,0.976,NA,alt values for G00 are not accurate
G0013868_18.JPG,40.9667415,-73.7352033,2017:07:20,1.56,43,alt values for G00 are not accurate
G0013868_20.JPG,40.9667415,-73.7352033,2017:07:20,1.56,43,alt values for G00 are not accurate
G0013868_21.JPG,40.9667415,-73.7352033,2017:07:20,1.56,43,alt values for G00 are not accurate
G0013868_23.JPG,40.9667415,-73.7352033,2017:07:20,1.56,43,alt values for G00 are not accurate
G0013868_5.JPG,40.9667415,-73.7352033,2017:07:20,1.56,43,alt values for G00 are not accurate
G0013876_11.JPG,40.9664316,-73.7345624,2017:07:20,3.065,20,alt values for G00 are not accurate
G0013876_17.JPG,40.9664316,-73.7345624,2017:07:20,3.065,20,alt values for G00 are not accurate
G0013876_23.JPG,40.9664316,-73.7345624,2017:07:20,3.065,20,alt values for G00 are not accurate
G0013877_21.JPG,40.9664818,-73.7343058,2017:07:20,5.404,20,alt values for G00 are not accurate
G0013877_23.JPG,40.9664818,-73.7343058,2017:07:20,5.404,20,alt values for G00 are not accurate
G0013877_5.JPG,40.9664818,-73.7343058,2017:07:20,5.404,20,alt values for G00 are not accurate
G0013878_19.JPG,40.9665337,-73.7340442,2017:07:20,5.116,20,alt values for G00 are not accurate
G0013879_5.JPG,40.966592,-73.7337766,2017:07:20,5.568,20,alt values for G00 are not accurate
G0013889_18.JPG,40.9669675,-73.7321997,2017:07:20,6.976,NA,alt values for G00 are not accurate
G0013889_19.JPG,40.9669675,-73.7321997,2017:07:20,6.976,NA,alt values for G00 are not accurate
G0024017_11.JPG,40.967393,-73.7318529,2017:07:20,4.796,260,alt values for G00 are not accurate
G0024017_17.JPG,40.967393,-73.7318529,2017:07:20,4.796,260,alt values for G00 are not accurate
G0024017_5.JPG,40.967393,-73.7318529,2017:07:20,4.796,260,alt values for G00 are not accurate
G0024018_17.JPG,40.9673131,-73.7320927,2017:07:20,4.704,260,alt values for G00 are not accurate
G0024018_20.JPG,40.9673131,-73.7320927,2017:07:20,4.704,260,alt values for G00 are not accurate
G0024018_21.JPG,40.9673131,-73.7320927,2017:07:20,4.704,260,alt values for G00 are not accurate
G0024019_21.JPG,40.9672457,-73.7323287,2017:07:20,3.901,252,alt values for G00 are not accurate
G0024020_17.JPG,40.9672093,-73.7324969,2017:07:20,6.055,252,alt values for G00 are not accurate
G0024020_20.JPG,40.9672093,-73.7324969,2017:07:20,6.055,252,alt values for G00 are not accurate
G0024020_22.JPG,40.9672093,-73.7324969,2017:07:20,6.055,252,alt values for G00 are not accurate
G0024021_17.JPG,40.9672312,-73.7325193,2017:07:20,6.856,242,alt values for G00 are not accurate
G0024022_20.JPG,40.9672307,-73.732538,2017:07:20,5.585,242,alt values for G00 are not accurate
G0024024_19.JPG,40.9672352,-73.7325963,2017:07:20,2.315,225,alt values for G00 are not accurate
G0024026_11.JPG,40.9669402,-73.7325098,2017:07:20,9.24,176,alt values for G00 are not accurate
G0024026_17.JPG,40.9669402,-73.7325098,2017:07:20,9.24,176,alt values for G00 are not accurate
G0024029_11.JPG,40.9663344,-73.7322275,2017:07:20,13.002,162,alt values for G00 are not accurate
G0024029_18.JPG,40.9663344,-73.7322275,2017:07:20,13.002,162,alt values for G00 are not accurate
G0024029_22.JPG,40.9663344,-73.7322275,2017:07:20,13.002,162,alt values for G00 are not accurate
G0024030_11.JPG,40.9662139,-73.7322435,2017:07:20,13.593,243,alt values for G00 are not accurate
G0024030_22.JPG,40.9662139,-73.7322435,2017:07:20,13.593,243,alt values for G00 are not accurate
G0024030_23.JPG,40.9662139,-73.7322435,2017:07:20,13.593,243,alt values for G00 are not accurate
G0024031_11.JPG,40.9661302,-73.7324065,2017:07:20,19.541,243,alt values for G00 are not accurate
G0024032_18.JPG,40.9660664,-73.7326236,2017:07:20,21.282,243,alt values for G00 are not accurate
G0024033_11.JPG,40.9660214,-73.7328596,2017:07:20,20.133,246,alt values for G00 are not accurate
G0024035_5.JPG,40.9661801,-73.7331805,2017:07:20,13.606,345,alt values for G00 are not accurate
G0024036_19.JPG,40.9663532,-73.733257,2017:07:20,10.583,345,alt values for G00 are not accurate
G0024037_17.JPG,40.9665275,-73.7333213,2017:07:20,6.451,345,alt values for G00 are not accurate
G0024038_21.JPG,40.9666995,-73.7334102,2017:07:20,2.54,345,alt values for G00 are not accurate
G0024039_11.JPG,40.9668734,-73.7334835,2017:07:20,1.05,337,alt values for G00 are not accurate
G0024039_20.JPG,40.9668734,-73.7334835,2017:07:20,1.05,337,alt values for G00 are not accurate
G0024039_21.JPG,40.9668734,-73.7334835,2017:07:20,1.05,337,alt values for G00 are not accurate
G0024039_22.JPG,40.9668734,-73.7334835,2017:07:20,1.05,337,alt values for G00 are not accurate
G0024039_5.JPG,40.9668734,-73.7334835,2017:07:20,1.05,337,alt values for G00 are not accurate
G0024040_11.JPG,40.9668976,-73.7335021,2017:07:20,3.342,337,alt values for G00 are not accurate
G0024040_20.JPG,40.9668976,-73.7335021,2017:07:20,3.342,337,alt values for G00 are not accurate
G0024040_5.JPG,40.9668976,-73.7335021,2017:07:20,3.342,337,alt values for G00 are not accurate
G0024041_11.JPG,40.9668918,-73.7335233,2017:07:20,3.745,337,alt values for G00 are not accurate
G0024043_11.JPG,40.9669007,-73.7335432,2017:07:20,0.718,337,alt values for G00 are not accurate
G0024043_5.JPG,40.9669007,-73.7335432,2017:07:20,0.718,337,alt values for G00 are not accurate
G0024044_19.JPG,40.9668923,-73.733592,2017:07:20,0.7,250,alt values for G00 are not accurate
G0024044_21.JPG,40.9668923,-73.733592,2017:07:20,0.7,250,alt values for G00 are not accurate
G0024045_17.JPG,40.9668517,-73.7337882,2017:07:20,1.333,250,alt values for G00 are not accurate
G0024046_5.JPG,40.966796,-73.7340445,2017:07:20,0.786,250,alt values for G00 are not accurate
G0024050_23.JPG,40.9662666,-73.7343203,2017:07:20,2.09,156,alt values for G00 are not accurate
G0024051_11.JPG,40.9660574,-73.7342198,2017:07:20,4.024,156,alt values for G00 are not accurate
G0024052_17.JPG,40.9658611,-73.7341377,2017:07:20,3.677,156,alt values for G00 are not accurate
G0024052_22.JPG,40.9658611,-73.7341377,2017:07:20,3.677,156,alt values for G00 are not accurate
G0024052_23.JPG,40.9658611,-73.7341377,2017:07:20,3.677,156,alt values for G00 are not accurate
G0024054_21.JPG,40.9657035,-73.7342213,2017:07:20,0.408,275,alt values for G00 are not accurate
G0024055_11.JPG,40.9657206,-73.7344391,2017:07:20,0.558,275,alt values for G00 are not accurate
G0024055_17.JPG,40.9657206,-73.7344391,2017:07:20,0.558,275,alt values for G00 are not accurate
G0024055_22.JPG,40.9657206,-73.7344391,2017:07:20,0.558,275,alt values for G00 are not accurate
G0024055_23.JPG,40.9657206,-73.7344391,2017:07:20,0.558,275,alt values for G00 are not accurate
G0024056_17.JPG,40.9657297,-73.7346865,2017:07:20,3.831,275,alt values for G00 are not accurate
G0024057_17.JPG,40.9657438,-73.7349025,2017:07:20,4.311,252,alt values for G00 are not accurate
G0024057_5.JPG,40.9657438,-73.7349025,2017:07:20,4.311,252,alt values for G00 are not accurate
G0024058_21.JPG,40.9657326,-73.7349424,2017:07:20,4.759,177,alt values for G00 are not accurate
G0024059_11.JPG,40.965581,-73.7349013,2017:07:20,5.489,177,alt values for G00 are not accurate
G0024059_17.JPG,40.965581,-73.7349013,2017:07:20,5.489,177,alt values for G00 are not accurate
G0024059_19.JPG,40.965581,-73.7349013,2017:07:20,5.489,177,alt values for G00 are not accurate
G0024059_22.JPG,40.965581,-73.7349013,2017:07:20,5.489,177,alt values for G00 are not accurate
G0024059_23.JPG,40.965581,-73.7349013,2017:07:20,5.489,177,alt values for G00 are not accurate
G0024060_18.JPG,40.9653764,-73.734865,2017:07:20,4.655,177,alt values for G00 are not accurate
G0024060_19.JPG,40.9653764,-73.734865,2017:07:20,4.655,177,alt values for G00 are not accurate
G0024060_21.JPG,40.9653764,-73.734865,2017:07:20,4.655,177,alt values for G00 are not accurate
G0024061_17.JPG,40.9651866,-73.7348232,2017:07:20,3.272,177,alt values for G00 are not accurate
G0024061_19.JPG,40.9651866,-73.7348232,2017:07:20,3.272,177,alt values for G00 are not accurate
G0024061_22.JPG,40.9651866,-73.7348232,2017:07:20,3.272,177,alt values for G00 are not accurate
G0024061_23.JPG,40.9651866,-73.7348232,2017:07:20,3.272,177,alt values for G00 are not accurate
G0024062_19.JPG,40.9651318,-73.7348152,2017:07:20,4.151,177,alt values for G00 are not accurate
G0024062_20.JPG,40.9651318,-73.7348152,2017:07:20,4.151,177,alt values for G00 are not accurate
G0024062_21.JPG,40.9651318,-73.7348152,2017:07:20,4.151,177,alt values for G00 are not accurate
G0024062_22.JPG,40.9651318,-73.7348152,2017:07:20,4.151,177,alt values for G00 are not accurate
G0024067_19.JPG,40.9651937,-73.7345779,2017:07:20,2.036,86,alt values for G00 are not accurate
G0024067_20.JPG,40.9651937,-73.7345779,2017:07:20,2.036,86,alt values for G00 are not accurate
G0024068_11.JPG,40.9652555,-73.7343313,2017:07:20,2.516,83,alt values for G00 are not accurate
G0024069_19.JPG,40.9653177,-73.7340775,2017:07:20,3.749,83,alt values for G00 are not accurate
