photos,lat,lon,date_taken,alt,heading,notes,nearest_address,add_lat,add_lon,new_lat,new_lon
G0013831_11,40.9677224,-73.7316247,2017:07:20,19.051,247,alt values for G00 are not accurate,"514 Warren Ave, Mamaroneck, NY 10543, USA",40.9674727,-73.7318904,40.96783569,-73.73150553
G0013831_21,40.9677224,-73.7316247,2017:07:20,19.051,247,alt values for G00 are not accurate,"514 Warren Ave, Mamaroneck, NY 10543, USA",40.9674727,-73.7318904,40.96760911,-73.7316247
G0013831_23,40.9677224,-73.7316247,2017:07:20,19.051,247,alt values for G00 are not accurate,"514 Warren Ave, Mamaroneck, NY 10543, USA",40.9674727,-73.7318904,40.96760911,-73.73150553
G0013832_22,40.9676735,-73.7318126,2017:07:20,10.711,247,alt values for G00 are not accurate,"507 Chestnut Ave, Mamaroneck, NY 10543, USA",40.9677448,-73.7320035,40.96756021,-73.73175301
G0013832_5,40.9676735,-73.7318126,2017:07:20,10.711,247,alt values for G00 are not accurate,"507 Chestnut Ave, Mamaroneck, NY 10543, USA",40.9677448,-73.7320035,40.96790008,-73.73169343
G0013833_17,40.9675989,-73.7320191,2017:07:20,4.362,247,alt values for G00 are not accurate,"507 Chestnut Ave, Mamaroneck, NY 10543, USA",40.9677448,-73.7320035,40.9675989,-73.73189993
G0013833_20,40.9675989,-73.7320191,2017:07:20,4.362,247,alt values for G00 are not accurate,"507 Chestnut Ave, Mamaroneck, NY 10543, USA",40.9677448,-73.7320035,40.96748561,-73.73207869
G0013835_5,40.9674909,-73.7324157,2017:07:20,0.222,247,alt values for G00 are not accurate,"507 Chestnut Ave, Mamaroneck, NY 10543, USA",40.9677448,-73.7320035,40.96771748,-73.73229653
G0013836_19,40.9674725,-73.7324404,2017:07:20,2.325,247,alt values for G00 are not accurate,"507 Chestnut Ave, Mamaroneck, NY 10543, USA",40.9677448,-73.7320035,40.96735921,-73.73255957
G0013836_5,40.9674725,-73.7324404,2017:07:20,2.325,247,alt values for G00 are not accurate,"507 Chestnut Ave, Mamaroneck, NY 10543, USA",40.9677448,-73.7320035,40.96769908,-73.73232123
G0013843_22,40.9672009,-73.7332801,2017:07:20,7.599,252,alt values for G00 are not accurate,"400 Warren Ave, Mamaroneck, NY 10543, USA",40.9672827,-73.7331405,40.96708761,-73.73320781
G0013844_19,40.96714,-73.733493,2017:07:20,7.667,252,alt values for G00 are not accurate,"400 Warren Ave, Mamaroneck, NY 10543, USA",40.9672827,-73.7331405,40.96702671,-73.73363758
G0013846_5,40.9670368,-73.7339625,2017:07:20,7.075,252,alt values for G00 are not accurate,"212 Warren Ave, Mamaroneck, NY 10543, USA",40.966977,-73.734502,40.96726338,-73.73381792
G0013854_22,40.9672973,-73.7349754,2017:07:20,4.67,285,alt values for G00 are not accurate,"1515 Urban St, Mamaroneck, NY 10543, USA",40.9671277,-73.7351089,40.96718401,-73.7348371
G0013855_19,40.9673346,-73.7350354,2017:07:20,4.402,252,alt values for G00 are not accurate,"1515 Urban St, Mamaroneck, NY 10543, USA",40.9671277,-73.7351089,40.96722131,-73.73517998
G0013855_21,40.9673346,-73.7350354,2017:07:20,4.402,252,alt values for G00 are not accurate,"1515 Urban St, Mamaroneck, NY 10543, USA",40.9671277,-73.7351089,40.96722131,-73.7350354
G0013855_5,40.9673346,-73.7350354,2017:07:20,4.402,252,alt values for G00 are not accurate,"1515 Urban St, Mamaroneck, NY 10543, USA",40.9671277,-73.7351089,40.96756118,-73.73489082
G0013856_22,40.9672609,-73.7351485,2017:07:20,1.499,252,alt values for G00 are not accurate,"1515 Urban St, Mamaroneck, NY 10543, USA",40.9671277,-73.7351089,40.96714761,-73.73507621
G0013857_5,40.9671978,-73.7353486,2017:07:20,1.545,252,alt values for G00 are not accurate,"1515 Urban St, Mamaroneck, NY 10543, USA",40.9671277,-73.7351089,40.96742438,-73.73520402
G0013858_5,40.9671413,-73.7355481,2017:07:20,1.602,252,alt values for G00 are not accurate,"1520 Urban St, Mamaroneck, NY 10543, USA",40.9672437,-73.7356187,40.96736788,-73.73540352
G0013859_18,40.9671251,-73.7356523,2017:07:20,4.97,252,alt values for G00 are not accurate,"1520 Urban St, Mamaroneck, NY 10543, USA",40.9672437,-73.7356187,40.96701181,-73.73586918
G0013859_19,40.9671251,-73.7356523,2017:07:20,4.97,252,alt values for G00 are not accurate,"1520 Urban St, Mamaroneck, NY 10543, USA",40.9672437,-73.7356187,40.96701181,-73.73579688
G0013861_11,40.9671261,-73.73574,2017:07:20,24.331,252,alt values for G00 are not accurate,"1520 Urban St, Mamaroneck, NY 10543, USA",40.9672437,-73.7356187,40.96723939,-73.73559542
G0013868_18,40.9667415,-73.7352033,2017:07:20,1.56,43,alt values for G00 are not accurate,"1515 Urban St, Mamaroneck, NY 10543, USA",40.9671277,-73.7351089,40.96662821,-73.73522103
G0013868_20,40.9667415,-73.7352033,2017:07:20,1.56,43,alt values for G00 are not accurate,"1515 Urban St, Mamaroneck, NY 10543, USA",40.9671277,-73.7351089,40.96662821,-73.73520921
G0013868_21,40.9667415,-73.7352033,2017:07:20,1.56,43,alt values for G00 are not accurate,"1515 Urban St, Mamaroneck, NY 10543, USA",40.9671277,-73.7351089,40.96662821,-73.7352033
G0013868_23,40.9667415,-73.7352033,2017:07:20,1.56,43,alt values for G00 are not accurate,"1515 Urban St, Mamaroneck, NY 10543, USA",40.9671277,-73.7351089,40.96662821,-73.73519148
G0013868_5,40.9667415,-73.7352033,2017:07:20,1.56,43,alt values for G00 are not accurate,"1515 Urban St, Mamaroneck, NY 10543, USA",40.9671277,-73.7351089,40.96696808,-73.73519148
G0013876_11,40.9664316,-73.7345624,2017:07:20,3.065,20,alt values for G00 are not accurate,"212 Warren Ave, Mamaroneck, NY 10543, USA",40.966977,-73.734502,40.96654489,-73.73442666
G0013876_17,40.9664316,-73.7345624,2017:07:20,3.065,20,alt values for G00 are not accurate,"212 Warren Ave, Mamaroneck, NY 10543, USA",40.966977,-73.734502,40.9664316,-73.73442666
G0013876_23,40.9664316,-73.7345624,2017:07:20,3.065,20,alt values for G00 are not accurate,"212 Warren Ave, Mamaroneck, NY 10543, USA",40.966977,-73.734502,40.96631831,-73.73442666
G0013877_21,40.9664818,-73.7343058,2017:07:20,5.404,20,alt values for G00 are not accurate,"212 Warren Ave, Mamaroneck, NY 10543, USA",40.966977,-73.734502,40.96636851,-73.7343058
G0013877_23,40.9664818,-73.7343058,2017:07:20,5.404,20,alt values for G00 are not accurate,"212 Warren Ave, Mamaroneck, NY 10543, USA",40.966977,-73.734502,40.96636851,-73.73417006
G0013877_5,40.9664818,-73.7343058,2017:07:20,5.404,20,alt values for G00 are not accurate,"212 Warren Ave, Mamaroneck, NY 10543, USA",40.966977,-73.734502,40.96670838,-73.73417006
G0013878_19,40.9665337,-73.7340442,2017:07:20,5.116,20,alt values for G00 are not accurate,"1421 N James St, Mamaroneck, NY 10543, USA",40.9665017,-73.7336796,40.96642041,-73.73417994
G0013879_5,40.966592,-73.7337766,2017:07:20,5.568,20,alt values for G00 are not accurate,"1421 N James St, Mamaroneck, NY 10543, USA",40.9665017,-73.7336796,40.96681858,-73.73364086
G0024017_11,40.967393,-73.7318529,2017:07:20,4.796,260,alt values for G00 are not accurate,"514 Warren Ave, Mamaroneck, NY 10543, USA",40.9674727,-73.7318904,40.96750629,-73.73167003
G0024017_17,40.967393,-73.7318529,2017:07:20,4.796,260,alt values for G00 are not accurate,"514 Warren Ave, Mamaroneck, NY 10543, USA",40.9674727,-73.7318904,40.967393,-73.73167003
G0024017_5,40.967393,-73.7318529,2017:07:20,4.796,260,alt values for G00 are not accurate,"514 Warren Ave, Mamaroneck, NY 10543, USA",40.9674727,-73.7318904,40.96761958,-73.73167003
